slug,name,country,website_url,logo_url,description
tesla,Tesla,United States,https://www.tesla.com/powerwall,https://commons.wikimedia.org/wiki/Special:FilePath/Tesla_Motors_Logo.svg,"Founded in 2003 and headquartered in Austin, Texas, Tesla launched the Powerwall in 2015 — the world's first widely available home battery system. Drawing on its electric vehicle battery expertise and Gigafactory production in Nevada, the company rapidly became the global leader in residential energy storage. Now in its third generation, the Powerwall 3 offers 13.5 kWh of storage with a fully integrated solar inverter and 11.5 kW of continuous backup power. Over 750,000 Powerwalls have been deployed worldwide, with a growing number enrolled in virtual power plant programs."
byd,BYD,China,https://bydbatterybox.com,https://commons.wikimedia.org/wiki/Special:FilePath/BYD_Auto_2022_logo.svg,"Founded in 1994 in Shenzhen, China, BYD is one of the world's largest manufacturers of rechargeable batteries, electric vehicles, and renewable energy systems. Its Battery-Box residential product line, launched in 2015, has grown into one of the most widely deployed home storage brands globally with over 1.1 million systems installed. The Battery-Box family uses cobalt-free lithium iron phosphate (LFP) chemistry and spans a broad capacity range from compact wall-mounted units to systems exceeding 100 kWh, all compatible with a wide range of third-party inverters."
enphase-energy,Enphase Energy,United States,https://enphase.com,https://commons.wikimedia.org/wiki/Special:FilePath/Enphase_logo.svg,"Founded in 2006 and headquartered in Fremont, California, Enphase Energy pioneered the solar microinverter and has since expanded into residential battery storage and EV charging. The company has shipped over 86 million microinverters to more than 160 countries, making it one of the most recognized names in residential solar. Its IQ Battery lineup, built on lithium iron phosphate (LFP) chemistry, integrates tightly with Enphase microinverters and the Enlighten monitoring platform. The latest IQ Battery 5P delivers 5 kWh per unit with industry-leading power density and is now manufactured in the United States."
huawei-fusionsolar,Huawei (FusionSolar),China,https://solar.huawei.com/en,https://commons.wikimedia.org/wiki/Special:FilePath/Huawei_Standard_logo.svg,"Huawei's FusionSolar division leverages the company's expertise in power electronics and digital technology to deliver smart solar and storage solutions for residential and commercial customers worldwide. Its flagship home storage product, the LUNA2000 series, is a modular high-voltage system available in 5, 10, and 15 kWh configurations, compatible with Huawei's SUN2000 hybrid inverters. The latest LUNA S1 generation introduces a 15-year warranty, 280 Ah battery cells, and five-layer safety protection. By the end of 2024, FusionSolar residential systems had been deployed across 3.9 million homes in more than 170 countries."
sonnen,sonnen,Germany,https://sonnengroup.com,https://commons.wikimedia.org/wiki/Special:FilePath/Sonnen_logo.png,"Founded in 2010 in Wildpoldsried, Bavaria, sonnen created the world's first fully integrated lithium-ion home battery system and has since grown into Europe's leading residential storage brand. The company was acquired by Shell New Energies in 2019 and continues to operate independently, with manufacturing facilities in Germany, the United States, and Australia. The sonnenBatterie combines a battery, inverter, and intelligent energy management in a single unit using LFP chemistry, backed by a 10-year warranty and over 90,000 global installations. sonnen also operates the sonnenCommunity, a virtual power plant network that allows customers to share surplus energy and participate in grid services."
lg-energy-solution,LG Energy Solution,South Korea,https://www.lgessbattery.com,https://commons.wikimedia.org/wiki/Special:FilePath/LG_Energy_Solution_logo_EN.svg,"LG Energy Solution was spun off from LG Chem in December 2020 and went public on the Korea Exchange in January 2022, drawing on over 30 years of lithium-ion battery development experience. Headquartered in Seoul, South Korea, it is one of the world's top battery manufacturers serving both the electric vehicle and stationary energy storage markets. Its RESU (Residential Energy Storage Unit) lineup is a DC-coupled home battery series known for its compact form factor and high energy density, offered in configurations up to 16 kWh. The RESU pairs with leading hybrid inverters from major brands and is backed by a 10-year warranty guaranteeing at least 70% capacity retention."
growatt,Growatt,China,https://en.growatt.com,https://brandfetch.com/ginverter.com,"Founded in 2011 in Shenzhen, China, Growatt has grown into the world's leading residential solar inverter supplier, with products installed in over 100 countries. The company offers a comprehensive range of on-grid, off-grid, and hybrid inverters alongside its ARK modular battery storage series targeting residential and small commercial customers. Growatt's home batteries use lithium iron phosphate (LFP) chemistry and are available in both low-voltage (48V) and high-voltage configurations, all backed by a 10-year warranty. In 2022, Growatt earned Top Brand PV Storage recognition across six key markets including the UK, Italy, and Australia."
franklinwh,FranklinWH,United States,https://www.franklinwh.com,https://brandfetch.com/franklinwh.com,"Founded in 2019 and headquartered in San Jose, California, FranklinWH is a residential energy management company backed by Sequoia Capital and focused on delivering whole-home backup power. Its flagship aPower 2 battery offers 15 kWh of LFP storage with 10 kW continuous output, designed to power entire households including HVAC and other high-draw appliances. Systems pair with the aGate energy management controller, which integrates solar, grid, generator, and EV inputs and scales up to 225 kWh across multiple batteries. The aPower 2 is backed by an industry-leading 15-year warranty with a 60 MWh throughput guarantee."
solaredge,SolarEdge,Israel,https://www.solaredge.com/en,https://commons.wikimedia.org/wiki/Special:FilePath/SolarEdge_logo.svg,"Founded in 2006 in Israel and publicly traded on NASDAQ since 2015, SolarEdge built its reputation on DC power optimizer technology that maximizes energy harvest from individual solar panels. The company expanded into residential battery storage with the SolarEdge Home Battery, a DC-coupled 9.7 kWh unit offering an industry-leading 94.5% round-trip efficiency and support for stacking up to three units per inverter. The system integrates with SolarEdge's Home Hub inverter for unified management of solar production, storage, and backup, with smart features including Weather Guard and Rate Saver accessible through the mySolarEdge app."
pylontech,Pylontech,China,https://en.pylontech.com.cn,https://brandfetch.com/pylontech.com.cn,"Founded in 2009 and headquartered in Shanghai, Pylontech is one of the world's most widely integrated residential battery manufacturers, specialising in lithium iron phosphate (LFP) cell technology and battery management systems. The company pioneered the modular, rack-mounted home battery format and now supplies battery packs to installers and system integrators across more than 100 countries, compatible with popular inverter brands including Victron, Solis, and Growatt. Its current lineup includes the US2000C, US3000C, and US5000 series, with up to 95% depth of discharge. Pylontech listed on the Shanghai Stock Exchange STAR Market in 2020 following a $300 million IPO."
sungrow,Sungrow,China,https://www.sungrowpower.com/en,https://commons.wikimedia.org/wiki/Special:FilePath/Sungrow_Power_Supply.svg,"Founded in 1997 by University Professor Cao Renxian and headquartered in Hefei, China, Sungrow is one of the world's largest solar inverter manufacturers with over 515 GW of power electronics installed globally. The company entered energy storage in 2006 and has since built a full portfolio of residential, commercial, and utility-scale storage products. Its flagship SBR residential battery series uses stackable 3.2 kWh LFP modules that can be configured from 9.6 kWh up to over 100 kWh, offering 100% depth of discharge, competitive pricing, and a 10-year warranty. The SBR has earned top rankings in multiple industry installer choice awards, tying with Tesla for first place in 2025."
fox-ess,Fox ESS,China,https://www.fox-ess.com,https://brandfetch.com/fox-ess.pro,"Founded in 2019 in Wenzhou, China, Fox ESS is a member of the Fortune Global 500 Tsingshan Group and achieved unicorn status in May 2023, reflecting its rapid growth in the global renewables market. The company specialises in hybrid inverters and battery storage systems for residential and commercial applications, with a strong presence in Germany, Italy, the UK, Brazil, and the United States. Its ECS battery range uses LFP cells in a stackable modular format scalable from under 5 kWh to over 40 kWh, while the PowerQ all-in-one system integrates inverter and storage in a single enclosure. All products are backed by a 10-year warranty and managed through the FoxCloud monitoring app."
generac,Generac,United States,https://www.generac.com,https://brandfetch.com/generac.com,"Founded in 1959 in Wales, Wisconsin, Generac is an American company best known for inventing the affordable home standby generator and has dominated the residential backup power market for decades. After over 60 years in the generator business, Generac entered battery storage in 2019 through the acquisition of Pika Energy and launched the PWRcell solar and storage system. The second-generation PWRcell 2 delivers up to 18 kWh of modular storage with 10 kW continuous output and is uniquely designed to pair with Generac's gas generators for multi-day backup resilience during extended outages. The ecosystem is monitored through the PWRview app and backed by a 10-year product and capacity warranty."
goodwe,GoodWe,China,https://en.goodwe.com,https://brandfetch.com/goodwe.com,"Founded in 2010 in Suzhou, China, GoodWe is a top-six global solar inverter supplier with products installed in over 100 countries and a cumulative deployed capacity exceeding 100 GW. The company developed one of the world's first all-in-one hybrid inverters in 2014 and listed on the Shanghai Stock Exchange in 2020 with a team of over 1,000 R&D engineers. Its residential battery range, anchored by the Lynx Home series, includes modular low-voltage units scalable up to 32.4 kWh and high-voltage options up to 16.4 kWh, all monitored through the free SEMS platform. GoodWe also supplies custom inverter solutions to global partners including GE and LG Energy Solution."
